category,material,material_cost,labour_cost,size,weight,market_min,market_avg,market_max,demand_score,price
Embroidered Cloth,Cane,1254,1098,14.72,0.6,504.6,546,573.86,0.22,3505.98
Metal Craft,Cane,1347,84,45.89,4.1,2839.79,3629,4162.51,0.35,4156.65
Handmade Jewellery,Beads,1031,337,15.33,1.38,1693.14,1811,2275.64,0.47,3101.09
Metal Craft,Cotton,519,476,7.71,3.5,2493.06,2712,3307.6,0.96,3283.62
Handloom Saree,Cotton,716,1106,15.79,2.79,1523.54,1773,2048.77,0.69,3761.69
Handloom Saree,Beads,610,930,42.36,4.38,3286.44,3758,4094.47,0.89,4742.99
Handloom Saree,Terracotta,1326,121,10.68,2.91,1175.42,1419,1698.99,0.42,2840.59
Handloom Saree,Terracotta,56,237,57.07,0.59,1190.98,1298,1592.55,0.52,1518.64
Embroidered Cloth,Terracotta,1229,901,9.4,1.29,1991.12,2596,2794.93,0.3,4409.73
Handmade Jewellery,Clay,1317,656,58.86,4.8,3315.91,3627,4012.15,0.9,5118.79
Cane Furniture,Beads,1203,447,23.09,3.56,1095.05,1189,1538.04,0.55,3077.26
Wooden Craft,Clay,529,912,29.63,1.62,289.99,308,325.72,0.97,2632.56
Cane Furniture,Clay,1363,934,30.19,3.98,317.83,355,381.23,0.52,3526.7
Wooden Craft,Terracotta,1147,422,10.95,3.24,865.99,984,1219.42,0.8,3040.65
Jute Bag,Bamboo,843,460,36.04,4.77,476.58,602,650.97,0.35,2401.19
Jute Bag,Clay,259,937,52.49,1.68,762.89,999,1153.32,0.4,2622.24
Bamboo Basket,Brass,803,1113,6.78,2.97,2656.64,3494,3853.04,0.26,4659.26
Wooden Craft,Jute,198,166,38.67,2.79,1709.83,1950,2424.11,0.46,1964.58
Handloom Saree,Terracotta,444,763,54.5,0.34,842.18,1013,1130.0,0.98,2735.07
Metal Craft,Clay,640,493,20.91,4.26,968.96,1160,1271.93,0.29,2328.44
Cane Furniture,Silk,739,862,24.0,3.79,2816.87,3103,3847.72,0.48,4245.12
Embroidered Cloth,Cotton,239,964,23.38,2.64,1756.46,2185,2834.53,0.74,3412.86
Bamboo Basket,Terracotta,571,313,53.33,4.2,2093.96,2320,2788.62,0.28,2772.07
Wooden Craft,Terracotta,694,923,57.85,3.38,641.37,810,942.26,0.32,3089.45
Metal Craft,Cotton,1208,160,42.04,3.02,1615.55,1892,2356.8,0.87,3367.6
Handmade Jewellery,Silk,1443,850,57.06,1.31,2465.3,3011,3623.76,0.89,5204.13
Embroidered Cloth,Clay,87,666,41.54,3.44,2233.34,2696,3176.83,0.85,3157.41
Bamboo Basket,Cotton,676,875,29.06,4.13,247.58,278,334.58,0.61,2783.37
Handmade Jewellery,Silk,738,583,37.38,1.62,2047.14,2195,2769.66,0.58,3198.7
Handmade Jewellery,Brass,729,1042,14.66,3.33,691.89,906,954.15,0.92,3139.68
Bamboo Basket,Jute,592,56,33.0,4.96,2722.89,2952,3462.48,0.3,2868.79
Handmade Jewellery,Beads,562,1039,23.06,0.47,1280.19,1518,1631.96,0.47,3185.14
Jute Bag,Brass,770,1007,24.55,1.22,203.88,264,291.2,0.58,2639.0
Bamboo Basket,Silk,1017,123,56.48,0.57,1411.6,1509,1618.62,0.29,2690.56
Cane Furniture,Cotton,1297,850,37.77,1.64,2412.67,2563,2883.03,0.99,4764.83
Jute Bag,Cotton,635,424,45.72,2.29,1326.29,1750,1996.42,0.69,2716.29
Metal Craft,Jute,120,713,38.99,4.73,2174.0,2565,3328.0,0.37,3042.05
Embroidered Cloth,Cane,309,207,9.48,0.16,1382.52,1664,2007.09,0.91,1903.55
Wooden Craft,Wood,1405,502,56.93,2.99,1373.26,1700,1984.13,0.99,4146.2
Bamboo Basket,Terracotta,1382,185,50.11,4.41,2447.27,3011,3676.59,0.37,3962.21
Handloom Saree,Cane,131,825,58.31,0.79,2667.37,3037,3240.66,0.42,3340.99
Wooden Craft,Cane,1416,146,59.21,4.42,1249.06,1526,1642.58,0.35,3383.22
Terracotta,Brass,886,1032,23.77,3.34,1331.39,1744,2114.73,0.3,3779.17
Handloom Saree,Terracotta,1018,291,41.09,4.29,2924.58,3403,4385.64,0.6,3971.52
Handmade Jewellery,Terracotta,953,779,47.62,1.75,2205.37,2705,2892.88,0.6,3987.44
Pottery,Brass,914,1178,28.13,3.85,1057.96,1392,1599.62,0.5,3953.27
Handmade Jewellery,Bamboo,468,914,39.37,0.17,2040.14,2359,2772.27,0.59,3481.25
Metal Craft,Brass,610,653,46.56,2.31,717.08,809,958.88,0.97,2684.3
Terracotta,Cane,1265,61,38.01,0.87,2069.47,2580,3056.14,0.63,3402.44
Cane Furniture,Jute,364,803,34.73,1.03,2361.11,3112,3436.63,0.98,3727.05
Pottery,Jute,1372,83,36.52,3.93,1555.33,1810,2217.69,0.95,3384.05
Metal Craft,Silk,1083,1069,37.65,1.41,2169.21,2464,2703.48,0.25,4444.34
Bamboo Basket,Brass,291,751,18.44,4.18,2194.42,2575,2802.68,0.69,3214.15
Terracotta,Beads,1293,416,59.91,3.51,706.61,839,1046.88,0.57,3271.45
Bamboo Basket,Bamboo,431,658,30.77,2.18,1230.99,1304,1671.27,0.84,2632.09
Embroidered Cloth,Wood,504,331,16.97,0.77,3094.95,3553,4357.31,0.74,3278.03
Wooden Craft,Silk,1010,346,28.69,0.38,2822.7,3677,4623.96,0.88,4060.52
Pottery,Bamboo,325,961,6.39,2.89,2897.98,3799,4203.85,0.83,4143.79
Pottery,Clay,807,616,55.41,1.57,259.24,302,374.9,0.87,2607.0
Cane Furniture,Cotton,1331,999,56.54,1.2,2951.95,3136,3450.73,0.89,5315.37
Cane Furniture,Cane,934,385,59.25,2.18,2042.79,2201,2499.08,0.57,3281.91
Handloom Saree,Bamboo,1054,963,50.57,4.9,2719.21,3114,3416.85,0.35,4772.94
Bamboo Basket,Cotton,734,294,34.54,4.26,2636.03,3433,3672.18,0.54,3636.74
Embroidered Cloth,Silk,399,331,10.55,3.07,1443.25,1710,1803.89,0.79,2320.07
Bamboo Basket,Beads,615,444,36.97,3.95,1484.65,1712,2130.84,0.4,2495.4
Handloom Saree,Jute,436,1012,26.22,3.92,2336.36,2895,3691.57,0.3,3896.26
Metal Craft,Brass,964,337,37.7,1.79,1528.7,1986,2369.22,0.28,3208.39
Wooden Craft,Cotton,186,816,46.61,4.13,2660.04,3480,4206.06,0.75,3965.58
Metal Craft,Wood,219,208,26.32,2.19,990.83,1167,1305.63,0.58,1573.33
Cane Furniture,Brass,877,82,20.26,2.43,3065.7,3707,4009.64,0.51,3736.3
Bamboo Basket,Silk,1100,1116,14.58,0.59,2252.05,2795,3570.17,0.72,4822.53
Embroidered Cloth,Jute,1061,70,13.56,3.19,1912.66,2177,2593.42,0.78,2919.76
Terracotta,Silk,1142,1018,9.34,1.51,869.89,1151,1227.02,0.63,3736.04
Handloom Saree,Beads,272,842,49.59,2.12,1158.91,1342,1736.9,0.42,2696.08
Pottery,Clay,1393,541,14.89,1.5,1251.79,1334,1684.13,0.88,3504.32
Terracotta,Beads,800,420,44.54,4.39,3398.92,3858,4480.92,0.48,4180.7
Handmade Jewellery,Brass,1104,742,38.16,2.84,2005.76,2638,2992.1,0.8,4385.59
Embroidered Cloth,Brass,159,212,46.13,2.05,2973.02,3714,4246.73,0.88,3148.08
Wooden Craft,Silk,1051,813,49.77,3.64,587.3,734,796.34,0.51,3351.34
Wooden Craft,Wood,577,124,46.36,0.32,313.61,403,511.51,0.34,1397.13
Embroidered Cloth,Cane,251,256,35.27,0.7,1135.75,1254,1334.37,0.62,1819.46
Handmade Jewellery,Terracotta,1006,118,54.71,4.54,1374.28,1614,1991.02,0.3,2677.1
Metal Craft,Brass,404,977,42.67,4.82,1261.2,1495,1656.85,0.67,3099.24
Wooden Craft,Cotton,284,1079,35.98,3.84,3331.39,3878,4572.52,0.28,4326.02
Jute Bag,Bamboo,724,680,44.98,3.99,2214.34,2505,3048.19,0.61,3691.59
Jute Bag,Bamboo,214,782,34.86,2.22,1822.24,2121,2559.85,0.95,2930.86
Cane Furniture,Jute,1260,1076,14.82,1.94,2422.97,3072,3377.98,0.79,5004.14
Cane Furniture,Cane,774,425,42.4,4.5,1468.94,1836,2176.9,0.84,2937.88
Embroidered Cloth,Jute,1191,824,27.75,4.77,1460.45,1814,2077.81,0.5,3966.3
Handmade Jewellery,Terracotta,1170,578,43.29,0.36,2261.49,2893,3466.37,0.92,4314.64
Handloom Saree,Brass,606,163,10.53,2.04,637.93,850,913.99,0.83,1717.88
Bamboo Basket,Jute,1079,428,27.78,3.11,901.22,1157,1391.64,0.95,3105.79
Pottery,Bamboo,1008,1003,24.39,0.95,2473.83,2827,3267.97,0.65,4477.94
Wooden Craft,Clay,204,1147,18.19,4.47,668.4,857,996.2,0.42,2646.24
Jute Bag,Cane,1165,162,34.01,1.74,2751.65,3188,3579.69,0.29,3635.72
Jute Bag,Cane,967,1193,58.49,3.93,2282.65,2672,3325.96,0.47,4848.47
Cane Furniture,Terracotta,1170,722,9.14,4.8,375.27,436,556.69,0.7,2980.61
Pottery,Clay,897,147,52.66,3.99,2248.81,2910,3116.57,0.47,3398.88
Wooden Craft,Jute,1180,360,44.33,2.49,2184.56,2832,3323.21,0.9,4037.78
Bamboo Basket,Beads,1094,767,7.14,4.25,1721.11,1980,2363.34,0.85,3943.72
Terracotta,Terracotta,699,545,11.41,4.26,2459.62,2680,3065.84,0.63,3467.81
Embroidered Cloth,Silk,1206,895,55.5,1.32,158.58,193,223.91,0.62,3401.24
Terracotta,Cane,784,227,9.06,1.5,3264.64,3789,4032.08,0.34,3598.0
Embroidered Cloth,Terracotta,509,970,46.56,1.4,1873.93,2046,2504.05,0.66,3571.67
Embroidered Cloth,Silk,582,157,21.08,2.16,2562.67,3311,4077.41,0.66,3004.66
Embroidered Cloth,Terracotta,742,453,8.34,1.26,1536.26,1779,2299.8,0.91,2988.78
Embroidered Cloth,Jute,810,180,21.13,4.61,743.2,872,935.93,0.94,2292.44
Terracotta,Silk,1480,362,30.53,0.22,1620.26,1887,2374.0,0.29,3608.25
Terracotta,Cane,803,1189,49.66,1.05,2346.54,2643,3423.04,0.97,4661.18
Handmade Jewellery,Brass,1018,192,16.87,4.25,2354.7,2995,3862.81,0.71,3586.53
Bamboo Basket,Cotton,1104,156,35.8,3.19,600.56,800,848.0,0.36,2464.81
Pottery,Cane,616,635,19.32,2.43,292.51,380,403.02,0.74,2039.31
Jute Bag,Bamboo,136,892,40.26,4.77,428.22,541,691.37,0.34,2224.64
Terracotta,Clay,983,177,33.51,4.65,2337.01,2708,3066.32,0.31,3425.16
Cane Furniture,Bamboo,838,865,14.12,0.85,2703.04,2861,3262.72,0.68,4041.74
Embroidered Cloth,Brass,974,454,27.21,4.33,943.58,1005,1080.51,0.42,2661.76
Cane Furniture,Beads,196,397,53.55,1.55,1743.4,2322,2637.17,0.98,2690.93
Embroidered Cloth,Silk,994,781,18.91,4.88,2949.3,3824,4882.05,1.0,4900.15
Bamboo Basket,Clay,999,256,25.62,2.87,230.03,278,355.08,0.98,2066.88
Jute Bag,Jute,575,398,23.95,0.53,1516.13,1750,2065.91,0.46,2532.46
Wooden Craft,Cane,888,987,43.08,4.57,545.86,708,747.36,0.34,3273.04
Pottery,Brass,189,712,51.63,1.95,2873.77,3293,3796.8,0.72,3452.54
Bamboo Basket,Clay,561,299,38.59,3.61,843.29,902,1131.21,0.44,1874.75
Jute Bag,Silk,443,283,34.16,1.39,1721.05,2212,2619.92,0.67,2466.64
Handloom Saree,Beads,1360,1179,43.1,2.71,792.01,864,1063.98,0.83,4323.57
Metal Craft,Silk,1206,324,35.44,4.81,666.41,867,920.31,0.29,2788.19
Embroidered Cloth,Silk,1250,87,59.26,2.21,2817.15,3424,3657.42,0.66,3946.81
Embroidered Cloth,Jute,842,833,59.78,2.59,2551.8,2840,3235.04,0.67,4260.38
Cane Furniture,Beads,1056,920,34.8,1.18,2794.3,3584,4529.58,0.74,4920.59
Terracotta,Terracotta,90,1079,31.75,1.13,2654.34,3006,3787.28,0.49,3603.33
Handmade Jewellery,Clay,955,762,29.13,1.25,629.91,729,811.11,0.45,2940.06
Bamboo Basket,Silk,1382,859,50.51,0.22,266.88,319,386.52,0.42,3553.9
Jute Bag,Terracotta,750,1028,5.55,1.76,1567.41,1751,2133.7,0.47,3489.38
Jute Bag,Silk,908,440,45.09,2.26,1703.52,2037,2581.8,0.92,3376.66
Wooden Craft,Brass,275,234,20.83,1.32,187.06,248,306.2,0.97,1177.32
Pottery,Brass,137,1136,44.17,1.65,2421.9,2783,3021.93,0.92,3748.47
Terracotta,Beads,773,950,48.46,4.03,263.86,285,328.07,0.43,2793.03
Embroidered Cloth,Clay,1315,1124,11.28,2.79,1451.01,1903,2308.5,0.93,4744.45
Handmade Jewellery,Cotton,571,874,40.66,3.42,240.27,262,315.43,0.71,2510.84
Bamboo Basket,Clay,1294,367,33.2,1.6,3472.94,3861,4165.36,0.38,4530.34
Terracotta,Cane,490,94,45.27,3.45,574.92,703,838.58,0.56,1493.62
Bamboo Basket,Beads,1364,1140,18.5,3.29,2891.56,3069,3362.62,0.45,5370.42
Handmade Jewellery,Brass,1185,910,55.67,1.6,3042.1,3319,3521.75,0.45,4979.86
Metal Craft,Beads,1433,244,35.52,1.55,1021.77,1222,1436.37,0.92,3310.49
Bamboo Basket,Jute,832,170,42.19,1.23,3289.88,3789,4196.16,0.58,3704.85
Pottery,Clay,1285,629,54.27,3.3,3299.0,3589,4497.38,0.58,4899.55
Terracotta,Clay,226,576,49.33,0.98,2998.09,3419,4243.03,0.27,3320.17
Pottery,Beads,379,812,29.53,1.61,1370.42,1481,1814.51,0.72,2738.3
Cane Furniture,Silk,1234,442,35.18,2.46,1315.47,1468,1692.12,0.42,3407.12
Bamboo Basket,Bamboo,882,299,36.1,3.5,1399.11,1510,1655.01,0.87,2822.87
Handloom Saree,Jute,358,311,8.93,3.66,2305.88,2448,3108.34,0.8,2567.94
Handloom Saree,Clay,885,108,52.84,4.0,1421.65,1826,2010.87,0.75,2686.58
Metal Craft,Cotton,967,1183,57.8,1.74,1662.6,2055,2552.87,0.52,4447.1
Pottery,Beads,1356,1007,17.49,4.45,3254.12,3562,4145.82,0.84,5493.79
Pottery,Cane,721,281,59.48,1.47,682.97,904,963.82,0.79,2168.19
Handloom Saree,Brass,66,963,34.14,4.23,1540.76,1902,2247.75,0.57,2897.13
Handloom Saree,Terracotta,1229,1155,28.59,4.34,1329.81,1757,2276.44,0.89,4415.05
Wooden Craft,Jute,733,112,42.55,1.26,2020.54,2152,2498.56,0.73,2738.12
Bamboo Basket,Terracotta,1250,960,43.99,1.21,337.05,396,419.0,0.72,3576.63
Pottery,Clay,303,332,42.8,1.67,1843.16,2171,2792.85,0.8,2360.84
Wooden Craft,Terracotta,587,1101,19.84,2.12,2620.57,2760,3548.28,0.74,4340.74
Cane Furniture,Bamboo,1476,625,35.13,0.51,669.24,802,868.4,0.98,3582.92
Handloom Saree,Silk,555,1194,19.74,0.36,1432.57,1544,1705.81,0.74,3605.38
Handloom Saree,Cane,946,68,54.49,1.81,763.31,890,1115.01,0.37,2108.54
Wooden Craft,Brass,517,902,45.59,1.65,2128.01,2561,2963.75,0.38,3757.37
Metal Craft,Bamboo,1239,124,26.78,3.62,2529.1,2700,3190.56,0.63,3538.53
Wooden Craft,Clay,813,407,41.97,0.85,1392.21,1668,2074.13,0.98,3069.97
Pottery,Jute,339,801,5.53,1.26,2166.02,2369,3063.46,0.25,3049.92
Handmade Jewellery,Wood,910,343,36.36,0.65,3253.32,3835,4044.42,0.32,4112.59
Handloom Saree,Wood,1455,499,22.01,4.44,1258.91,1357,1535.47,0.31,3689.05
Bamboo Basket,Brass,70,365,18.88,0.66,2136.05,2320,2777.46,0.9,2230.38
Cane Furniture,Brass,779,649,7.22,4.47,2617.4,3140,3736.43,0.22,3999.04
Handmade Jewellery,Beads,1206,718,10.74,2.32,2787.8,3236,3918.75,0.69,4703.49
Pottery,Wood,610,1151,58.25,0.81,2540.46,3386,4029.31,0.67,4685.39
Handmade Jewellery,Cane,332,1052,17.11,0.98,2237.53,2521,2944.05,0.9,3657.23
Pottery,Beads,1480,569,46.69,4.99,1399.29,1822,2043.62,0.98,4089.45
Terracotta,Wood,715,892,43.36,0.36,378.49,444,553.83,0.34,2747.9
Metal Craft,Brass,974,160,31.76,4.33,695.81,918,1139.01,0.33,2225.08
Embroidered Cloth,Jute,310,704,57.03,3.59,2881.0,3446,4119.08,0.81,3846.13
Pottery,Cane,1287,634,32.19,4.69,1560.54,2000,2492.67,0.3,3887.43
Metal Craft,Bamboo,195,908,9.66,2.38,1819.9,1973,2268.43,0.34,2751.13
Handloom Saree,Cotton,1375,1023,10.48,4.63,906.48,963,1201.12,0.78,4043.51
Pottery,Clay,366,470,42.4,4.7,335.27,412,534.86,0.74,1879.9
Metal Craft,Clay,147,92,15.6,2.92,1483.87,1939,2082.39,0.6,1736.34
Handloom Saree,Terracotta,275,394,48.48,2.5,1595.32,1882,1988.73,0.77,2467.12
Jute Bag,Bamboo,227,795,19.12,1.28,1440.06,1536,1768.52,0.66,2599.85
Wooden Craft,Silk,283,457,24.53,1.48,485.44,581,729.06,0.83,1775.22
Jute Bag,Cotton,876,827,51.05,4.7,2496.13,2766,3510.39,0.88,4366.86
Pottery,Clay,851,871,7.01,3.02,1214.34,1566,1799.31,0.42,3411.13
Embroidered Cloth,Beads,505,1140,30.55,2.18,2442.01,2814,3133.57,0.41,4247.31
Bamboo Basket,Terracotta,469,78,56.86,1.14,508.01,599,640.05,0.23,1335.89
Cane Furniture,Bamboo,303,776,42.82,4.97,2734.67,3270,3528.01,0.28,3581.06
Wooden Craft,Wood,128,824,28.45,0.74,160.43,207,224.36,0.86,1874.26
Cane Furniture,Cotton,1404,379,27.63,3.04,3486.77,3774,4030.89,0.9,4618.76
Handloom Saree,Brass,1083,1193,18.96,1.72,3131.36,3442,3835.35,0.69,5297.11
Embroidered Cloth,Brass,192,254,40.37,4.42,1222.35,1536,1690.01,0.93,1918.01
Wooden Craft,Wood,567,1081,18.94,4.6,2692.72,3201,3391.93,0.21,4160.01
Handmade Jewellery,Jute,1007,396,44.83,4.49,1683.46,1893,2270.06,0.3,3295.48
Handloom Saree,Brass,462,429,29.8,2.66,2942.68,3886,4912.03,0.38,3569.43
Embroidered Cloth,Cane,677,610,31.04,3.76,1275.23,1561,1787.0,0.95,3042.03
Pottery,Jute,192,558,35.69,1.01,2074.72,2740,3446.63,0.67,2884.22
Handmade Jewellery,Cane,321,1098,8.86,4.9,3073.37,3324,3770.18,0.7,4169.46
Handloom Saree,Clay,1468,323,55.47,0.48,914.7,1117,1225.85,0.88,3381.17
Wooden Craft,Jute,176,782,9.11,4.59,777.24,936,1134.1,0.48,2169.45
Terracotta,Beads,665,997,47.31,3.64,1656.57,1881,2297.44,0.75,3636.4
Pottery,Wood,428,979,45.93,3.82,1218.3,1544,1852.68,0.47,3103.56
Pottery,Cane,1034,1156,51.29,0.75,411.48,534,571.04,0.67,3552.08
Wooden Craft,Bamboo,432,756,28.34,4.59,3028.96,3823,4288.45,0.93,4067.0
Pottery,Cane,1369,146,55.39,2.0,1020.21,1140,1424.99,0.98,3111.44
Handmade Jewellery,Jute,814,727,23.53,0.61,2805.29,2988,3151.82,0.97,4104.44
Handloom Saree,Cotton,238,622,33.24,0.9,2089.51,2739,2944.19,0.54,2963.73
Terracotta,Wood,219,879,18.46,2.91,440.48,507,641.78,0.33,2025.47
Handmade Jewellery,Beads,714,122,15.43,1.76,2274.56,2946,3560.66,0.74,2985.34
Metal Craft,Terracotta,1374,82,15.98,0.2,762.7,899,1128.81,0.52,2554.39
Bamboo Basket,Cane,985,734,53.42,4.82,1287.26,1534,1704.41,0.62,3665.83
Handloom Saree,Clay,198,867,49.3,1.72,1410.5,1822,2061.58,0.65,2940.43
Wooden Craft,Beads,733,791,46.13,1.48,2041.09,2598,2754.73,0.85,3884.82
Jute Bag,Clay,152,417,11.95,2.47,1683.68,1952,2525.21,0.75,2207.52
Pottery,Bamboo,439,822,20.92,3.24,2995.75,3880,4878.56,0.68,4252.87
Bamboo Basket,Brass,1255,215,20.54,1.68,2845.43,3723,4344.09,0.34,4219.54
Bamboo Basket,Cane,1493,536,42.98,0.66,1787.54,2106,2609.34,0.62,3917.39
Jute Bag,Brass,907,926,21.99,1.64,2235.65,2789,3034.91,0.91,4400.85
Handloom Saree,Terracotta,636,855,40.0,3.33,1037.15,1098,1280.66,0.94,3254.28
Wooden Craft,Terracotta,1252,1131,14.32,3.81,1957.39,2132,2682.26,0.73,4793.42
Bamboo Basket,Brass,1350,723,42.56,4.5,2127.4,2519,2840.62,0.9,4719.26
Metal Craft,Cotton,105,680,49.85,4.6,2508.78,2747,3524.58,0.9,3244.84
Metal Craft,Cane,1258,1128,10.18,1.64,1154.69,1403,1633.8,0.8,4107.66
Bamboo Basket,Wood,469,325,39.5,2.16,1581.25,1862,2169.67,0.77,2527.19
Bamboo Basket,Jute,799,350,17.22,0.82,2111.1,2337,2928.23,0.85,3062.41
Pottery,Bamboo,1439,740,55.93,0.22,915.06,972,1031.85,0.91,3874.8
Embroidered Cloth,Wood,453,74,52.18,2.8,198.93,210,243.68,0.61,1325.88
Cane Furniture,Terracotta,1156,595,5.48,0.11,1976.07,2427,2897.63,0.68,3753.24
Terracotta,Wood,987,561,13.21,4.2,1566.26,1995,2496.85,0.91,3440.6
Embroidered Cloth,Terracotta,980,760,29.24,3.41,1031.31,1235,1604.13,0.28,3248.66
Metal Craft,Wood,416,985,20.89,4.02,2421.37,3103,3321.74,0.55,4046.3
Cane Furniture,Beads,469,353,17.39,0.91,118.9,156,198.83,0.44,1173.4
Cane Furniture,Jute,293,928,31.9,4.01,1170.57,1470,1892.6,0.22,2768.84
Terracotta,Brass,531,649,34.58,1.84,1189.91,1314,1460.26,0.81,2780.7
Handloom Saree,Wood,482,1123,43.77,0.86,550.58,718,786.45,0.58,2986.88
Metal Craft,Brass,871,251,53.7,3.42,2359.42,2846,3453.47,0.55,3529.83
Bamboo Basket,Wood,661,165,53.29,0.49,3518.17,3858,4975.48,0.5,3627.49
Cane Furniture,Wood,1295,175,11.78,4.24,2315.61,2861,3113.06,0.31,3620.61
Embroidered Cloth,Cane,599,978,7.07,2.51,1541.82,1892,2073.11,0.31,3259.34
Wooden Craft,Brass,789,137,37.29,3.63,246.41,313,357.12,0.3,1543.54
Wooden Craft,Brass,297,355,23.09,4.39,1321.29,1743,2190.57,0.69,2208.74
Bamboo Basket,Beads,871,1120,30.46,4.95,1035.37,1144,1317.0,0.96,3852.75
Handmade Jewellery,Clay,1252,828,30.0,2.51,1914.56,2043,2444.51,0.44,4128.4
Handmade Jewellery,Brass,1249,60,55.62,1.51,1783.79,2200,2314.71,0.87,3393.93
Terracotta,Wood,157,601,6.74,3.89,3341.7,3801,4279.6,0.92,3470.14
Pottery,Silk,1053,683,19.42,2.22,1750.5,2286,2788.96,0.53,3776.08
Cane Furniture,Cotton,641,1124,34.96,0.51,356.77,378,415.54,0.96,3049.35
Handmade Jewellery,Beads,1286,110,5.49,1.79,1590.6,1851,1984.4,1.0,3251.64
Pottery,Terracotta,757,484,28.34,0.81,1416.68,1683,1882.36,0.99,2908.72
Handmade Jewellery,Brass,745,408,14.25,0.8,255.55,326,380.87,0.98,1937.61
Pottery,Cotton,965,131,47.35,4.85,2530.1,3319,4192.17,0.99,3710.36
Handloom Saree,Cotton,206,924,6.97,3.86,2648.69,2792,2992.1,0.89,3519.94
Pottery,Clay,320,470,19.42,1.14,2721.67,3157,3614.44,0.24,2781.09
Cane Furniture,Wood,1110,156,55.15,3.61,1962.45,2478,2805.29,0.9,3483.63
Wooden Craft,Terracotta,1334,1034,47.13,2.28,3173.67,3525,4363.58,0.46,5495.73
Handloom Saree,Jute,1204,528,6.81,2.4,1404.16,1491,1575.19,0.99,3521.2
Embroidered Cloth,Terracotta,495,1187,25.81,4.31,2595.34,3057,3570.09,0.97,4424.98
Bamboo Basket,Cotton,679,93,16.48,2.53,2193.05,2571,3073.86,0.57,2778.71
Handloom Saree,Cane,1377,447,31.84,3.89,2972.44,3426,3793.79,0.72,4749.05
Terracotta,Cotton,864,1071,20.3,2.42,2896.64,3476,3957.11,0.62,4925.13
Metal Craft,Wood,1077,50,58.26,3.32,488.05,609,701.43,0.6,2405.69
Cane Furniture,Silk,777,682,30.21,4.26,2581.59,3060,3846.17,0.56,4025.58
Embroidered Cloth,Jute,927,749,53.61,3.53,3250.76,3972,4503.54,0.99,5021.12
Jute Bag,Clay,323,894,16.15,0.65,210.11,252,313.7,0.48,1954.82
Bamboo Basket,Brass,507,424,35.56,2.48,1341.93,1693,1827.07,0.53,2536.77
Metal Craft,Brass,148,274,18.95,0.54,1749.65,2164,2501.61,0.61,2088.61
Handmade Jewellery,Clay,1341,1133,17.08,1.82,2564.49,3204,3669.5,0.82,5592.34
Wooden Craft,Wood,366,239,50.83,0.32,2088.17,2698,3425.97,0.82,2782.03
Embroidered Cloth,Cane,1439,668,18.48,3.78,356.05,394,488.36,0.69,3251.46
Handmade Jewellery,Silk,249,454,53.47,3.11,2322.68,2789,3136.81,0.96,3034.91
Metal Craft,Cotton,383,321,6.27,2.63,640.07,676,852.04,0.83,1575.67
Bamboo Basket,Cane,503,795,34.62,0.81,930.86,997,1260.78,0.36,2534.56
Jute Bag,Beads,513,363,35.52,3.92,493.69,534,630.75,0.22,1777.2
Jute Bag,Brass,191,767,14.25,1.79,354.7,377,430.86,0.86,1922.54
Wooden Craft,Cotton,1262,405,26.06,1.1,2702.9,3445,4110.65,0.67,4329.13
Terracotta,Silk,1138,242,26.36,1.35,3163.68,3936,4187.93,0.53,4229.16
Handmade Jewellery,Clay,351,386,54.2,1.03,1602.91,1932,2503.1,0.48,2375.78
Pottery,Terracotta,377,846,43.42,0.85,3036.85,3244,4162.4,0.98,3964.16
Handloom Saree,Brass,145,1192,15.35,0.6,2828.26,3047,3651.58,0.84,4012.61
Handmade Jewellery,Bamboo,1117,1196,28.85,2.34,3441.92,3660,4613.53,0.67,5440.82
Metal Craft,Bamboo,375,689,33.42,3.09,446.85,526,588.45,0.74,1947.85
Embroidered Cloth,Bamboo,327,644,24.42,2.35,2860.37,3205,3753.49,0.38,3397.38
Cane Furniture,Terracotta,1119,554,19.58,0.18,434.91,464,598.53,0.98,2809.53
Handloom Saree,Jute,1097,761,29.45,3.9,930.74,1003,1184.46,0.63,3356.59
Bamboo Basket,Cane,1244,348,58.59,2.01,3282.46,3663,4730.27,0.85,4445.28
Jute Bag,Clay,1033,530,20.97,4.16,1311.45,1602,1952.75,0.28,3163.47
Pottery,Wood,205,1194,5.07,1.61,588.37,710,768.9,0.61,2604.36
Handmade Jewellery,Silk,634,630,56.23,2.31,2285.67,2506,2899.25,0.76,3407.42
Handmade Jewellery,Wood,1260,545,53.77,3.36,2449.52,3077,3676.56,0.84,4456.66
Embroidered Cloth,Cotton,244,352,8.7,3.6,882.76,981,1078.15,0.57,1635.58
Cane Furniture,Terracotta,1421,528,16.71,2.01,1488.87,1922,2349.75,0.79,4016.39
Pottery,Jute,632,207,11.83,2.16,724.81,870,997.09,0.79,1939.1
Bamboo Basket,Bamboo,560,1071,45.29,3.02,1350.99,1710,2043.12,0.57,3677.09
Metal Craft,Beads,269,888,9.14,4.74,635.28,788,938.62,0.26,2322.78
Handmade Jewellery,Clay,579,1166,55.56,2.03,163.46,209,223.47,0.36,2849.83
Metal Craft,Clay,1107,757,20.25,2.8,2054.28,2563,3039.65,0.79,4116.09
Jute Bag,Cotton,450,261,45.48,2.61,1205.34,1389,1658.56,0.25,2137.16
Cane Furniture,Bamboo,326,1055,18.79,1.22,549.61,657,710.72,0.6,2378.15
